,full_address,latitude,longitude,Special_Needs_Fac_Availability
148,Junyuan Primary School 2 Tampines Street 91 Singapore 528906,1.3478749,103.939687,No
149,"Poi Ching School 21 Tampines Street 71, Singapore 529067",1.3577836,103.9352454,No
150,St. Hildas Primary School 2 Tampines Avenue 3 Singapore 529706,1.3496891,103.9361065,No
151,Tampines Primary School 250 Tampines Street 12 Singapore 529426,1.3499716,103.9441287,Yes
152,Tampines North Primary School 30 Tampines Avenue 9 Singapore 529565,1.360298,103.948581,Yes
153,Yumin Primary School 3 Tampines Street 21 Singapore 529393,1.3513975,103.9507843,No
154,"CEDAR PRIMARY SCHOOL 15, Cedar Avenue, Singapore 349700",1.3356131,103.8754605,No
155,Convent of the Holy Infant Jesus Primary (Toa Payoh) 628 Lorong 1 Toa Payoh Singapore 319765,1.3331227,103.8423309,No
156,First Toa Payoh Primary School 7 Lorong 8 Toa Payoh Singapore 319252,1.3401643,103.8555932,Yes
157,"Kheng Cheng School 15 Lorong 3 Toa Payoh, Singapore 319580",1.337666,103.847796,No
158,Maris Stella High (Primary) School 25 Mount Vernon Road Singapore 368051,1.3414272,103.8778148,No
159,Marymount Convent School 20 Marymount Road Singapore 297754,1.3393377,103.8385289,Yes
160,Pei Chun Public School 580 Toa Payoh East Singapore 319133,1.3332385,103.8589626,No
161,St Andrews Junior School 2 Francis Thomas Drive Singapore 359337,1.3314591,103.8650358,No
162,"ADMIRALTY PRIMARY SCHOOL 11, Woodlands Circle, Singapore 738907",1.4434045,103.8001853,No
163,Evergreen Primary School 31 Woodlands Circle Singapore 738908,1.444082,103.795038,Yes
164,Fuchun Primary School  23 Woodlands Avenue 1 Singapore 739063,1.4307779,103.7782457,No
165,Greenwood Primary School 11 Woodlands Drive 62 Singapore 737942,1.43985,103.804609,No
166,Innova Primary School 80 Woodlands Drive 17 Singapore 737888,1.4293124,103.7906555,No
167,Marsiling Primary School 31 Woodlands Centre Rd Singapore 738927,1.434119,103.7729776,Yes
168,Qihua Primary School 5 Woodlands Street 81 Singapore 738525,1.4423448,103.7889363,No
169,RIVERSIDE PRIMARY SCHOOL 110 Woodlands Crescent Singapore 737803,1.447201,103.8017893,Yes
170,Si Ling Primary School 61 Woodlands Avenue 1 Singapore 739067,1.432693,103.78577,No
171,Woodgrove Primary School 2 Woodlands Drive 14 Singapore 738079,1.4333246,103.7905773,No
172,Woodlands Primary School 10 Woodlands Drive 50 Singapore 738853,1.4367882,103.7915775,No
173,Woodlands Ring Primary School 11 Woodlands Ring Road Singapore 738240,1.4345519,103.7978994,No
174,Ahmad Ibrahim Primary School 10 Yishun St 11 Singapore 768643,1.4337349,103.8327825,Yes
175,Chongfu School 170 Yishun Avenue 6 Singapore 768959,1.4388464,103.8393785,No
176,Huamin Primary School 530 Yishun Ring Road Singapore 768680,1.427932,103.8447046,No
177,Jiemin Primary School No. 2 Yishun Street 71 Singapore 768515,1.427671,103.830498,No
178,Naval Base Primary School 7 Yishun Ave 4 S769028,1.4161125,103.8390841,Yes
179,Northland Primary School 15 Yishun Ave 4 Singapore 769026,1.421155,103.840576,No
180,North View Primary School 210 Yishun Avenue 6 Singapore 768960,1.427616,103.848313,Yes
181,Peiying Primary School 651 Yishun Ring Road Singapore 768687,1.4175245,103.8302639,No
182,Xishan Primary School 8 Yishun Street 21 Singapore 768611,1.4334989,103.8378387,Yes
183,Yishun Primary School 500 Yishun Ring Road Singapore 768679,1.4334921,103.8337811,No
